Bad Elster,08645,Sachsen,50.2811665,12.236949,9
Badem,54657,Rheinland-Pfalz,50.004038,6.6074904,5
Bad Ems,56130,Rheinland-Pfalz,50.3352062,7.7128538,3
Bad Emstal,34308,Hessen,51.2558597,9.2493249,6
Baden-Baden,76530,Baden-Württemberg,48.7580777,8.2415239,1
Baden-Baden,76532,Baden-Württemberg,48.7580777,8.2415239,3
Baden-Baden,76534,Baden-Württemberg,48.7580777,8.2415239,2
Bad Endbach,35080,Hessen,50.7517656,8.4945003,1
Badendorf,23619,Schleswig-Holstein,53.867602,10.5762332,9
Bad Endorf,83093,Bayern,47.906411,12.3013697,4
Badenhard,56291,Rheinland-Pfalz,50.1228494,7.6323839,5
