label;synonyms
Advocacy & Human Rights;Advocacy,Human Rights
Animals;
Arts & Culture;Arts,Culture
Board Development;
Children & Youth;Children,Youth
Community;
Computers & Technology;Computers,Technology
Crisis Support;
Disaster Relief;
Education & Literacy;Education,Literacy
Emergency & Safety;Emergency,Safety
Employment;
Environment;
Faith-Based;
Health & Medicine;Health,Medicine
Homeless & Housing;Homeless,Housing
Hunger;
Immigrants & Refugees;Immigrants,Refugees
International;
Justice & Legal;Justice,Legal
LGBTQ+;
Media & Broadcasting;Media,Broadcasting
People with Disabilities;
Politics;
Race & Ethnicity;Race,Ethnicity
Seniors;
Sports & Recreation;Sports,Recreation
Veterans & Military Families;Veterans,Military Families
Women;
