title,url
Ein Jahr Freiwillig,https://www.ein-jahr-freiwillig.de/de/suche/ort?geo%5Bsource_configuration%5D%5Borigin_address%5D=&geo%5Bvalue%5D=10&last_minute=All&unterkunft=All&anbieter=
Ehrenamt Sachsen,https://www.ehrenamt.sachsen.de/engagementboerse/suche?utf8=%E2%9C%93&query=&location=address&origin=&within=
Der Bundesfreiwilligendienst ,https://www.bundesfreiwilligendienst.de/bundesfreiwilligendienst/platz-einsatzstellensuche/einsatzstelle-suchen.html?tx_bfdeinsatzstellensuche_einsatzstellensuche%5Baction%5D=liste&tx_bfdeinsatzstellensuche_einsatzstellensuche%5Bcontroller%5D=Suchen%5CEinsatzstellensuche&cHash=ff2107f5ca1fc1b5b392cc09ff84a3c3
Weltwärts,https://www.weltwaerts.de/de/ep-ergebnis.html?page=1
European Youth Portal,https://europa.eu/youth/volunteering/organisations_de
Landesnetzwerk Bürgerschaftliches Engagement Bayern,https://www.lbe.bayern.de/ehrenamt-finden/boerse/index.php
lagfa bayern e.V.,http://www.lagfa-bayern.de/engagementboerse/
lagfa Hamburg,https://www.freiwillig.hamburg/ehrenamt-in-hamburg-finden-freiwillig-ehrenamtlich-engagiert.html#db-start
Ran ans Leben,https://ran-ans-leben.de/freiwilligendienste-stellen-ausbildung-und-ehrenamt-finden/
Caritas,https://www.caritas.de/spendeundengagement/engagieren/ehrenamt/ehrenamtsangebote/ehrenamtsboerse/
Berlin bürgeraktiv,https://www.berlin.de/buergeraktiv/engagieren/engagement-finden/index.cfm?dateiname=ehrenamt_suche.cfm&anwender_id=5&cfide=0.429754035599#suchergebnis
Vostel,https://vostel.de/de/volunteering/projects
GuteTat Berlin,https://www.gute-tat.de/helfen/ehrenamtliches-engagement/projekte-berlin/
Gute Tat München,https://www.gute-tat.de/helfen/ehrenamtliches-engagement/projekte-muenchen/
GuteTat Hamburg,https://www.gute-tat.de/helfen/ehrenamtliches-engagement/projekte-hamburg/
betterplace.org,https://www.betterplace.org/de/discover-volunteering#open
Mannheim²,https://www.mannheim.de/de/freiwilligenboerse
ehrfinder,http://www.ehrfinder.de/jobsuche/
Thüringer Ehrenamtsstiftung,https://www.thueringer-ehrenamtsstiftung.de/Datenbank.109.0.html
Stiftung für Ehrenamt und bürgerschaftliches Engagement in Mecklenburg-Vorpommern,https://www.ehrenamtsstiftung-mv.de/engagement/mitmachangebote/
Freiwilligen Agentur Bremen im sfd,https://www.freiwilligen-agentur-bremen.de/engagementboerse/#
Freiwilligen-Zentrum Wiesbaden,https://www.fwz-wiesbaden.de/fuer-freiwillige/hier-engagement-finden/#ankerdatenbank
Freiwilligenagentur Erfurt,https://www.freiwilligenagentur-erfurt.de/4-0-Ehrenamtsboerse.html
Ich will FSJ,https://ich-will-fsj.de/bewirb-dich/freie-stellen-suchen/fsj-stellenfinder?city=&date-to=&detail=103&distance=-1&driverlicence=&folders=201&hideApplicationArea=1&hidejobassignments=0&housing=&jobassignments%5B0%5D=-1&cHash=8452ef06b4a08dbdbad884c5e6820a3d
Sozial Einsatz,https://www.sozialeinsatz.de/stellenangebote/finden
Freiwilligenarbeit,https://www.freiwilligenarbeit.de/volunteer-projekte.html?q%5Bflights_included_only%5D=0&amp;q%5Bimage_tours_only%5D=0&amp;q%5Binternship_only%5D=0&amp;q%5Bmin_duration%5D=&amp;q%5Bunder_18_only%5D=0
Unicef,https://www.unicef.de/mitmachen/ehrenamtlich-aktiv/stellenangebote-ehrenamt
Deutsche Stiftung für Engagement und Ehrenamt,https://www.deutsche-stiftung-engagement-und-ehrenamt.de/jobs/
Ehrenamtjobs Darmstadt,https://www.ehrenamtjobs-darmstadt.de/
Ehrenamtssuche.de,https://www.ehrenamtssuche.de/index.html
Johanniter,https://www.johanniter.de/mitarbeiten-lernen/ehrenamt/
Freiwillick Grün,https://www.freiwillickgruen.de/
Diakonisches Werk Würzburg,https://diakonie-wuerzburg.de/diakonisches-werk-wuerzburg/ehrenamt.html
Kölner Freiwilligen Agentur,https://www.koeln-freiwillig.de/engagementdatenbank/
AWO Sachsen,http://ehrenamt.awo-sachsen.de/
Diakonie Stadtmission Chemnitz,https://www.stadtmission-chemnitz.de/jobs-stellenangebote/ehrenamt
Lebenshilfe Braunschweig,https://www.lebenshilfe-braunschweig.de/aktuell/stellenangebote/freie-stellen-jobs-ehrenamt
Arbeiter-Samariter-Bund Hamburg,https://www.asb-hamburg.de/freiwillig-aktiv/zeitspender/freiwilligen-jobs/
Bürgernetz-Datenbank Nürnberg,https://www.iska-nuernberg.de/zab/buergernetz.html
Stadt Regensburg,https://www.regensburg.de/leben/ehrenamt/engagement-finden
DRK Hamburg,https://www.drk-altona-mitte.de/das-drk/stellenboerse/stellenboerse-ehrenamt.html
AWO Nürnberger Land,https://www.awo-nuer-land.de/jobs-und-ehrenamt/
Ehrenamtsbörsen Göttingen,https://www.uni-goettingen.de/de/577694.html
WEISSER RING,https://weisser-ring.de/unterstuetzung/ehrenamt
Green City,https://www.greencity.de/mitmachen/#mitmachboerse
Endometriose Vereinigung Deutschland E.V.,https://www.endometriose-vereinigung.de/stellenausschreibungen.html
Die Seenotretter DGzRS,https://www.seenotretter.de/aktionen/stellenausschreibungen-eam/
Aktion Mensch,https://www.aktion-mensch.de
