name,plz,state,lat,lon,rank
Aach,78267,Baden-Württemberg,47.8448883488451,8.86322624490215,10.648152
Aach,54298,Rheinland-Pfalz,49.8423760951448,6.58668785193422,75.477866
Aachen,52062,Nordrhein-Westfalen,50.7771714836654,6.08777482381591,1.639516
Aachen,52064,Nordrhein-Westfalen,50.7672852554012,6.08214644201833,2.184823
Aachen,52066,Nordrhein-Westfalen,50.7578881973929,6.10804116674378,7.683251
Aachen,52068,Nordrhein-Westfalen,50.7798673002269,6.12726280478291,5.425187
Aachen,52070,Nordrhein-Westfalen,50.7940929094384,6.09709311942036,9.179127
Aachen,52072,Nordrhein-Westfalen,50.8232808772565,6.05126177704539,19.397726
Aachen,52074,Nordrhein-Westfalen,50.774570139006,6.03822517717151,32.640423
Aachen,52076,Nordrhein-Westfalen,50.7155695314201,6.15198274272852,55.204307
Aachen,52078,Nordrhein-Westfalen,50.7573402408111,6.16301463156531,12.511914
Aachen,52080,Nordrhein-Westfalen,50.7879824184336,6.16128641575185,15.08311
Aalen,73430,Baden-Württemberg,48.8432648834493,10.0807161673131,5.529863
Aalen,73431,Baden-Württemberg,48.8261112991899,10.09100524525,15.224407
Aalen,73432,Baden-Württemberg,48.8170147851668,10.1756668611054,70.506556
Aalen,73433,Baden-Württemberg,48.868876595974,10.1086533989594,24.289226
Aalen,73434,Baden-Württemberg,48.8603767450811,10.0281825028859,31.001836
Aarbergen,65326,Hessen,50.250343299984,8.08308205554475,34.073764
Aasbüttel,25560,Schleswig-Holstein,54.0590864647167,9.46858904264883,57.799885
Abenberg,91183,Bayern,49.236297666958,10.9356292015959,51.532922
Abensberg,93326,Bayern,48.8284212364228,11.8548905690642,60.313529
Abentheuer,55767,Rheinland-Pfalz,49.6737005523931,7.17002878414444,141.888822
Absberg,91720,Bayern,49.1590141769445,10.8598894108107,18.949763
Abstatt,74232,Baden-Württemberg,49.0739374287945,9.30240580258846,8.850245
Abtsbessingen,99713,Thüringen,51.3206235929383,10.6957402724088,188.943256
Abtsgmünd,73453,Baden-Württemberg,48.9131819004056,9.96186067737215,71.746834
Abtsteinach,69518,Hessen,49.5411616737194,8.78835440124363,11.049752
Abtswind,97355,Bayern,49.7596071465168,10.3355116476969,72.299086
Abtweiler,55568,Rheinland-Pfalz,49.7590074275635,7.66406061331492,21.948826
Achberg,88147,Baden-Württemberg,47.6262150116396,9.71506638380175,12.896111
Achern,77855,Baden-Württemberg,48.632934149866,8.04695847693695,70.376211
Achim,28832,Niedersachsen,53.0226551184083,9.03922226077046,67.997577
Achslach,94250,Bayern,48.9735289793498,12.9079683963195,30.152475
Achstetten,88480,Baden-Württemberg,48.2649718748771,9.89918553271422,23.311738
Acht,56729,Rheinland-Pfalz,50.3266422471893,7.09846198236998,149.402861
Achtelsbach,55767,Rheinland-Pfalz,49.6737005523931,7.17002878414444,141.888822
Achterwehr,24239,Schleswig-Holstein,54.3042329886361,9.97961978654875,13.87574
Achtrup,25917,Schleswig-Holstein,54.7641889842529,9.01308299887401,124.575755
Adelberg,73099,Baden-Württemberg,48.7625835142951,9.59608933443582,9.467567
Adelebsen,37139,Niedersachsen,51.5683214796504,9.74686594563331,76.50179
Adelheidsdorf,29352,Niedersachsen,52.5618130744293,10.0288213643843,33.33813
Adelmannsfelden,73486,Baden-Württemberg,48.9615600180608,9.96860984567023,22.884339
Adelschlag,85111,Bayern,48.841670993784,11.1995395290342,51.865902
Adelsdorf,91325,Bayern,49.7118812069419,10.8995530614866,31.69571
Adelsheim,74740,Baden-Württemberg,49.3910323456783,9.39459727300962,43.799412
Adelshofen,91587,Bayern,49.452261133153,10.147105126696,27.199752
Adelshofen,82276,Bayern,48.195283249778,11.107473058548,13.291206
Adelsried,86477,Bayern,48.4274657795796,10.7162454149954,9.660719
Adelzhausen,86559,Bayern,48.358404502324,11.1289213205851,16.918874
Adenau,53518,Rheinland-Pfalz,50.3766238669876,6.94275131322607,58.840151
Adenbach,67742,Rheinland-Pfalz,49.6453512513557,7.59083115396131,27.430155
Adenbüttel,38528,Niedersachsen,52.390442127886,10.4455333765102,13.701492
Adendorf,21365,Niedersachsen,53.2892625592832,10.453992934281,16.086629
Adlkofen,84166,Bayern,48.5360881816824,12.2819600362122,47.884731
Admannshagen-Bargeshagen,18211,Mecklenburg-Vorpommern,54.1134150673406,11.9286748544946,59.681073
Adorf/Vogtland,08626,Sachsen,50.3501341425937,12.2251333029982,105.853975
Aebtissinwisch,25572,Schleswig-Holstein,53.9255949453421,9.25515003381238,47.856461
Aerzen,31855,Niedersachsen,52.0598473307777,9.2427725289091,105.263832
Affalterbach,71563,Baden-Württemberg,48.9208563483729,9.33618199303771,10.142487
Affing,86444,Bayern,48.4502066345959,10.9618819466763,44.333446
Affinghausen,27257,Niedersachsen,52.7923528972829,8.84756146985053,39.079042
Affler,54689,Rheinland-Pfalz,50.0614927922087,6.18157485482342,73.236776
Agathenburg,21684,Niedersachsen,53.5695184439501,9.47246650689103,44.213318
Agethorst,25560,Schleswig-Holstein,54.0590864647167,9.46858904264883,57.799885
Aglasterhausen,74858,Baden-Württemberg,49.3629303078117,8.99558642101751,22.789051
Aham,84168,Bayern,48.5251660399856,12.4650372332944,37.950007
Ahaus,48683,Nordrhein-Westfalen,52.1014809517457,6.95973127797191,151.521576
Ahausen,27367,Niedersachsen,53.1092458401054,9.24979942990108,172.901664
Ahlbeck,17375,Mecklenburg-Vorpommern,53.696327709446,14.1163823391225,226.698172
Ahlden,29693,Niedersachsen,52.7665774809381,9.54761411472302,113.258335
Ahlefeld-Bistensee,24358,Schleswig-Holstein,54.4274087135496,9.69337967752207,26.860703
Ahlen,59227,Nordrhein-Westfalen,51.785054537844,7.88121386280348,80.060001
Ahlen,59229,Nordrhein-Westfalen,51.7398436273258,7.92190498526414,42.94884
Ahlerstedt,21702,Niedersachsen,53.3943137549496,9.43913505828566,62.238292
Ahlsdorf,06313,Sachsen-Anhalt,51.5304013477177,11.4753952324519,22.65481
Ahlstädt,98553,Thüringen,50.5411925156981,10.7568903413663,138.3101
Ahnatal,34292,Hessen,51.3666096312963,9.39645064827866,17.876393
Ahneby,24996,Schleswig-Holstein,54.7184210115665,9.74535453628552,20.963899
Ahnsbeck,29353,Niedersachsen,52.6098112122981,10.2948413690919,20.738514
