plz,note,qkm,einwohner
01067,01067 Dresden,6.866862,11957
01069,01069 Dresden,5.352996,25491
01097,01097 Dresden,3.276896,14811
01099,01099 Dresden,58.500502,28021
01108,01108 Dresden,16.447222,5876
01109,01109 Dresden,24.738921,20010
01127,01127 Dresden,3.241062,15089
01129,01129 Dresden,7.41542,18915
01139,01139 Dresden,8.437161,17555
01156,01156 Dresden,31.752467,11317
01157,01157 Dresden,8.059465,20684
01159,01159 Dresden,5.92069,27666
01169,01169 Dresden,4.861648,19091
01187,01187 Dresden,5.084035,16423
01189,01189 Dresden,5.311302,9741
01217,01217 Dresden,5.864843,17501
01219,01219 Dresden,6.960999,20916
01237,01237 Dresden,4.271717,15536
01239,01239 Dresden,5.735143,15134
01257,01257 Dresden,8.276596,16277
01259,01259 Dresden,10.37215,18995
01277,01277 Dresden,4.865063,31798
01279,01279 Dresden,4.891571,21201
01307,01307 Dresden,3.666063,23815
01309,01309 Dresden,4.730591,32890
01324,01324 Dresden,4.625105,8874
01326,01326 Dresden,15.595642,10802
01328,01328 Dresden,41.238013,12342
01445,01445 Radebeul,26.357639,33224
01454,"01454 Radeberg, Wachau",68.129401,22281
01458,01458 Ottendorf-Okrilla,25.967269,9817
01465,01465 Dresden,12.551861,4101
01468,01468 Moritzburg,46.551506,8215
01471,01471 Radeburg,54.182052,7592
01477,01477 Arnsdorf b. Dresden,35.857419,4776
01558,01558 Großenhain,43.807774,14551
01561,"01561 Großenhain, Ebersbach u.a.",409.242756,20492
01587,01587 Riesa,7.412452,12390
01589,01589 Riesa,15.474688,10121
01591,01591 Riesa,16.629197,8795
01594,"01594 Riesa, Stauchitz, Hirschstein",86.319817,6780
01609,"01609 Gröditz, Wülknitz, Röderaue",85.669992,12490
01612,"01612 Nünchritz, Glaubitz",45.537968,8078
01616,01616 Strehla,30.431985,3893
01619,01619 Zeithain,82.262487,6179
01623,01623 Lommatzsch,66.980617,5408
01640,01640 Coswig,25.952036,20751
01662,01662 Meißen,30.873907,27093
01665,"01665 Käbschütztal, Klipphausen, Diera-Zehren",205.674999,16557
