label;synonyms
Aufsicht;Beaufsichtigung,Aufsichtstätigkeiten
Basteln;
Begleitung;Begleitung zu Behörden,Begleitung zu Schulen,Begleitung zu Ärzten
Behinderte;Demenzerkrankte,Beeinträchtigte (psychisch/geistig),Menschen mit Behinderung,Hilfe für Menschen mit Beeinträchtigungen
Beratung;
Betheljahr;
Betreuung;
Bewegung;
Bibliothek;Bibliotheks,Bücherausleihe
Bildende Kunst;Darstellende Kunst, künstlerisch
Bildung;
Bundesfreiwilligendienst;BFD - Bundesfreiwilligendienst,BFD
Büro;Büroarbeiten
Computer;IT, EDV-Kenntnisse, EDV
Denker/in;Denkerin, Denker
Denkmalpflege;
Deutsch als Fremdsprache;deutsch, unterrichten
Dolmetschen	Übersetzung,übersetzen
Einfühlungsvermögen;
Elektriker;
Europäisches Solidaritätskorps;ESK - Europäisches Solidaritätskorps,ESK
Erste-Hilfe Kenntnisse;Erste-Hilfe
Erwachsenenbildung;Erwachsene
Fahrdienste (ev. mit eigenem KFZ);Fahrten, Fahrdienst
Fest;Mithilfe bei Festen,Feste
Film;
Flüchtlingscafe;
Fotografie;Photographie, Fotographie
Frauen- und Mädchenarbeit;Frauenarbeit,Mädchenarbeit
Freiwilliges Soziales Jahr;FSJ - Freiwilliges Soziales Jahr,FSJ
Freiwilliges Ökologisches Jahr;FÖJ - Freiwilliges Ökologisches Jahr,FÖJ
Freizeit- und Kulturangebote;Freizeit,Kultur
Frieden;Frieden und Entwicklung,Friedensarbeit,Friedensdienst im Ausland
Führerschein;
Geflüchtete;Flüchtlinge
Geschichte;Historisches Erbe
Gesundheit;Gesundheitspflege
Gruppenarbeit;Erfahrung in Gruppenarbeit
Gruppenleitung;
Handarbeit;Kreative Handarbeiten
Handwerk;handwerkliche Hilfe,handwerkliches Geschick,Handwerk und Technik
Internationaler Jugendfreiwilligendienst;IJFD - Internationaler Jugendfreiwilligendienst,IJFD
Integration;
Jugend;Jugendliche,Jugendbildung,Jugendarbeit
Katastrophenschutz;Katastrophen,Zivil- und Katastrophenschutz
Kaufmännische Kenntnisse;Kaufmann, Kauffrau
Kinder;Kinderbetreuung,Arbeit mit Kindern,Kinder und Jugendliche,Kinder- und Jugendhilfe
Kirche;Kirche und Gemeinde,Gemeinde
Kommunikation;Kommunikationsbereitschaft, Kommunikativ,Kommunikative
Konzeptionelle Fähigkeiten;Konzeption
Kranke Menschen;
Kreativ;Kreativität, Kreative
Kultur;Breitenkultur, Kulturelle Bildung
Literatur;Buch,Bücher
Macher/in;Macherin, Macher
Medien;Multimedien,Digitale Medien, Multimedia
Medizin;medizinisch
Mentor;Mentoring
Moderation;
Nachhilfe;Hausaufgabenhilfe,Hausaufgabenbetreuung
NGO;Bürgeinitiative
Notaufnahme;Not- und Erstaufnahmeeinrichtung, Erstaufnahme
Organisation;
Pädagogik;Pädagogische Fähigkeiten,pädagogisch,Pädagogische Kenntnisse
Patenschaft;Pate,Paten,Patenschaften
Pressearbeit;Presse
Politik;Politik und Verwaltung
Psychisch;Psychische Belastbarkeit
Psychologie;Psychologische Fähigkeiten, psychologisch,Psychologische Kenntnisse
Rettungsdienste;Rettung
Sachspenden;Spende,Spenden
Schule;schulisch
Selbsthilfegruppen;Selbsthilfe
Senioren;Alte Menschen, Ältere Menschen,Senior*innen,Seniorenhilfe
Service Cafe;Cafe, Bistro
Sich unterhalten;
Sozial;Soziale,Soziale Kenntnisse,Soziale Dienste,Soziale Projekte
Sozialen Randgruppen	
Spiele;spielen
Sport;Sportliche Erfahrenswerte, sportliche Aktivität anbieten,Gymnastik,Sportverein
Sprachkenntnisse;Sprachen, Sprachunterricht,Fremdsprache
Technisches Verständnis;Technik, technisch
Theater;
Tierbetreuung;Tier,Tiere
Tierschutz;Tier,Tiere
Umwelt;Ökologische Kenntnisse, ökologisch, Ökologie,Natur und Umwelt,Umwelt- und Naturschutz sowie Nachhaltigkeit
Umzug;Umzugsunterstützung
Unterricht;
Vorlesen;Lesen
weltwärts;
Wohlfahrtspflege;
