label;synonyms
Aufsicht;Beaufsichtigung,Aufsichtstätigkeiten
Basteln;
Begleitung;Begleitung zu Behörden,Begleitung zu Schulen,Begleitung zu Ärzten
Behinderte;Behinderung,Demenzerkrankte,Beeinträchtigte (psychisch/geistig),Menschen mit Behinderung,Hilfe für Menschen mit Beeinträchtigungen,Behinderungen/besondere Bedürfnisse
Beratung;
Betheljahr;
Betreuung;Pflege
Bewegung;
Bibliothek;Bibliotheks,Bücherausleihe
Bildung;Open and distance learning,Education and training,Pädagogik und Didaktik
Bundesfreiwilligendienst;BFD - Bundesfreiwilligendienst,BFD
Büro;Büroarbeiten
Cafe;Service Cafe,Bistro
Computer;IT,EDV-Kenntnisse,EDV
Denker/in;Denkerin,Denker
Denkmalpflege;
Deutsch als Fremdsprache;deutsch,unterrichten
Dolmetschen;Übersetzung,übersetzen
Einfühlungsvermögen;
Elektriker;
Europäisches Solidaritätskorps;ESK - Europäisches Solidaritätskorps,ESK
Erste-Hilfe Kenntnisse;Erste-Hilfe
Erwachsenenbildung;Erwachsene
Fahrdienste (ev. mit eigenem KFZ);Fahrten,Fahrdienst,Transport and mobility
Familie;
Feminismus;Chancengleichheit,Gleichstellung
Fest;Mithilfe bei Festen,Feste
Film;
Forschung;Forschung und Innovation,Naturwissenschaften
Fotografie;Photographie,Fotographie
Frauen- und Mädchenarbeit;Frauenarbeit,Mädchenarbeit
Freiwilliges Soziales Jahr;FSJ - Freiwilliges Soziales Jahr,FSJ
Freiwilliges Ökologisches Jahr;FÖJ - Freiwilliges Ökologisches Jahr,FÖJ
Freizeit;Freizeit- und Kulturangebote
Frieden;Frieden und Entwicklung,Friedensarbeit,Friedensdienst im Ausland
Führerschein;
Geflüchtete;Flüchtlinge,Flüchtlinge & Migranten,Integration of refugees,Migrants' issues,Flüchtlingscafe
Geschichte;Historisches Erbe,Denkmalpflege
Gesellschaft;Citizenship and democratic participation
Gesundheit;Gesundheitspflege,Gesundheit und Wohlbefinden
Gleichberechtigung;Chancengleichheit,Gleichstellung,Equality,Feminismus
Gruppenarbeit;Erfahrung in Gruppenarbeit
Gruppenleitung;
Handarbeit;Kreative Handarbeiten
Handwerk;handwerkliche Hilfe,handwerkliches Geschick,Handwerk und Technik
Internationale Zusammenarbeit;internationale Beziehungen,Entwicklungszusammenarbeit
Internationaler Jugendfreiwilligendienst;IJFD - Internationaler Jugendfreiwilligendienst,IJFD
Integration;Inclusion - equity,Inklusion,Integration of refugees,Inclusion
Jugend;Jugendliche,Jugendbildung,Jugendarbeit,Kinder & Jugendliche,Youthwork
Justiz;
Katastrophenschutz;Katastrophen,Zivil- und Katastrophenschutz,Post-conflict/post-disaster rehabilitation
Kaufmännische Kenntnisse;Kaufmann,Kauffrau
Kinder;Kinderbetreuung,Arbeit mit Kindern,Kinder und Jugendliche,Kinder- und Jugendhilfe,Kinder & Jugendliche
Kirche;Kirche und Gemeinde,Gemeinde
Kommunikation;Kommunikationsbereitschaft,Kommunikativ,Kommunikative
Konzeptionelle Fähigkeiten;Konzeption
Kranke Menschen;Kranke
Kreativ;Kreativität,Kreative,Kreativität und Kultur
Kultur;Breitenkultur,Kulturelle Bildung,Brauchtum,Culture,Kreativität und Kultur,Theater
Kunst;Bildende Kunst,Darstellende Kunst,künstlerisch
Literatur;Buch,Bücher
Macher/in;Macherin,Macher
Medien;Multimedien,Digitale Medien,Multimedia
Medizin;medizinisch
Menschenrechte;Rechtsstaatlichkeit,Human rights
Mentor;Mentoring
Moderation;
Musik;
Nachbarschaft;Community development
Nachhilfe;Hausaufgabenhilfe,Hausaufgabenbetreuung,Open and distance learning,Education and training
Bürgeinitiative;NGO,Nichtregierungsorganisation
Notaufnahme;Not- und Erstaufnahmeeinrichtung,Erstaufnahme
Organisation;
Pädagogik;Pädagogische Fähigkeiten,pädagogisch,Pädagogische Kenntnisse
Patenschaft;Pate,Paten,Patenschaften
Pressearbeit;Presse
Politik;Politik und Verwaltung
Psychisch;Psychische Belastbarkeit
Psychologie;Psychologische Fähigkeiten,psychologisch,Psychologische Kenntnisse
Rettungsdienste;Rettung,Rettungswesen
Sachspenden;Spende,Spenden
Schule;schulisch,Unterricht,unterrichten
Selbsthilfegruppen;Selbsthilfe,Fürsorge und Selbsthilfe
Senioren;Alte Menschen,Ältere Menschen,Senior*innen,Seniorenhilfe
Sich unterhalten;
Sicherheit;
Sozial;Soziale,Soziale Kenntnisse,Soziale Dienste,Soziale Projekte,Social assistance and welfare,Sozialer Dialog
Sozialen Randgruppen;Sozial Benachteiligte,Zugang für benachteiligte Menschen
Spiele;spielen
Sport;Sportliche Erfahrenswerte,sportliche Aktivität anbieten,Gymnastik,Sportverein,Physical education and sport
Sprachkenntnisse;Sprachen,Sprachunterricht,Fremdsprache,Lehren und Lernen von Fremdsprachen
Technisches Verständnis;Technik,technisch
Theater;
Tierbetreuung;Tier,Tiere
Tierschutz;Tier,Tiere,Tierschutz & Umwelt
Umwelt;Ökologische Kenntnisse,ökologisch,Ökologie,Natur und Umwelt,Umwelt- und Naturschutz sowie Nachhaltigkeit,Natur,Tierschutz & Umwelt,Umwelt und Klimawandel,Land- und Forstwirtschaft,Energie und Ressourcen
Umzug;Umzugsunterstützung
Vorlesen;Lesen
Weiterbildung;Skills development,Unternehmerisches Lernen und unternehmerische Bildung
weltwärts;
Wohlfahrtspflege;
