label;synonyms
Aufsicht;Beaufsichtigung,Aufsichtstätigkeiten
Basteln;
Begleitung;Begleitung zu Behörden,Begleitung zu Schulen,Begleitung zu Ärzten
Behinderte;Demenzerkrankte,Beeinträchtigte (psychisch/geistig)
Beratung;
Betreuung;
Bewegung;
Bibliothek;Bibliotheks,Bücherausleihe
Bildende Kunst;Darstellende Kunst, künstlerisch
Bildung;
Büro;Büroarbeiten
Computer;IT, EDV-Kenntnisse, EDV
Denker/in;Denkerin, Denker
Deutsch als Fremdsprache;deutsch, unterrichten
Dolmetschen;Übersetzung,Übersetzen
Einfühlungsvermögen;
Elektriker;
Erste-Hilfe Kenntnisse;Erste-Hilfe
Fahrdienste (ev. mit eigenem KFZ);Fahrten, Fahrdienst
Fest;Mithilfe bei Festen,Feste
Film;
Flüchtlingscafe;
Fotografie;Photographie, Fotographie
Frauen- und Mädchenarbeit;Frauenarbeit,Mädchenarbeit
Freizeit- und Kulturangebote ;Freizeit,Kultur
Führerschein;
Geschichte;Historisches Erbe
Gruppenarbeit;Erfahrung in Gruppenarbeit
Gruppenleitung;
Handarbeit;Kreative Handarbeiten
Handwerk;handwerkliche Hilfe,handwerkliches Geschick
Jugendarbeit;
Katastrophenschutz;Katastrophen
Kaufmännische Kenntnisse;Kaufmann, Kauffrau
Kinder;Kinderbetreuung,Kinderarbeit
Kommunikation;Kommunikationsbereitschaft, Kommunikativ
Konzeptionelle Fähigkeiten;Konzeption
Kreativ;Kreativität, Kreative
Kultur;Breitenkultur, Kulturelle Bildung
Literatur;Buch,Bücher
Macher/in;Macherin, Macher
Medien;Multimedien,Digitale Medien, Multimedia
Medizin;medizinisch
Mentor;Mentoring
Moderation;
Nachhilfe;Hausaufgabenhilfe,Hausaufgabenbetreuung
NGO;Bürgeinitiative
Notaufnahme;Not- und Erstaufnahmeeinrichtung, Erstaufnahme
Organisation;
Pädagogik;Pädagogische Fähigkeiten,pädagogisch,Pädagogische Kenntnisse
Patenschaft;Pate,Paten,Patenschaften
Pressearbeit;Presse
Psychisch;Psychische Belastbarkeit
Psychologie;Psychologische Fähigkeiten, psychologisch,Psychologische Kenntnisse
Rettungsdienste;Rettung
Sachspenden;Spende,Spenden
Schule;schulisch
Selbsthilfegruppen;Selbsthilfe
Senioren;Alte Menschen, Ältere Menschen
Service Cafe;Cafe, Bistro
Sich unterhalten;
Sozial;Soziale,Soziale Kenntnisse
Soziale Projekte;
Sozialen Randgruppen;
Spiele ;spielen
Sport;Sportliche Erfahrenswerte, sportliche Aktivität anbieten,Gymnastik,Sportverein
Sprachkenntnisse;Sprachen, Sprachunterricht,Fremdsprache
Technisches Verständnis;Technik, technisch
Theater;
Tierbetreuung;Tier,Tiere
Tierschutz;Tier,Tiere
Umwelt;Ökologische Kenntnisse, Ökologisch, Ökologie
Umzug;Umzugsunterstützung
Unterricht;
Vorlesen;Lesen
